ID,名前,重量,人員,開発年,開発国,必要資源_鉄,必要資源_クロム,必要資源_アルミ,必要資源_タングステン,必要資源_ゴム,shell_weight_g,initial_velocity_mps,rounds_per_minute,caliber_mm,barrel_length,barrel_count,max_elevation,turret_count,shell_weight_kg,caliber_cm
SMLG123,"3""/50 (7.62 cm) Mark 18 (Wet Mount Mark 18)",3100.0,47,1914.0,USA,1,0,0,0,0,,823.0,18.0,,50.0,1,+40/-15,1,5.9,7.62
SMLG124,"4""/40 (10.2 cm) BL Mark VIII (HA Guns)",1317.0,55,1904.0,GBR,1,0,0,0,0,,697.0,7.0,,40.0,1,+70/-10,1,14.06,10.2
SMLG125,"4.7""/45 (12 cm) QF Mark IX (CPXVI Submarine wet-mount)",0.0,52,1928.0,ENG,0,0,0,0,0,,808.0,7.0,,45.0,1,+30/-10,1,22.68,12.0
SMLG126,"4""/40 (10.2 cm) QF Mark XII and XXII (SI Mount)",5100.0,63,1918.0,GBR,1,0,0,0,0,,571.0,13.0,,40.0,1,+20/-3,1,15.9,10.2
SMLG127,"5""/38 (12.7 cm) Mark 12 (Twin Enclosed Base Ring Mark 32 Mod 0)",47899.0,192,1932.0,USA,1,0,0,0,0,,792.0,20.0,,38.0,2,+85/-15,1,25.0,12.7
SMLG128,"4""/50 (10.2 cm) QF Mark XIV",2126.0,50,1928.0,GBR,1,0,0,0,0,,905.0,10.0,,50.0,1,+20/-10,1,14.1,10.2
SMLG129,"10.5 cm/65 (4.1"") SK C/33 (Dop. L. C/31d)",27350.0,119,1933.0,GER,1,0,0,0,0,,900.0,16.0,,65.0,2,+80/-8,1,15.1,10.5
SMLG130,"4.5""/45 (11.4 cm) QF Mark I, III and IV (RP50 Mark V* Single Mount)",15260.0,94,1935.0,GBR,1,0,0,0,0,,716.0,14.0,,45.0,1,+55/-5,1,24.95,11.4
SMLG131,"3""/50 (7.62 cm) Mark 22 (Twin Mount Mark 27)",14259.0,74,1945.0,USA,1,0,0,0,0,,823.0,45.0,,50.0,2,+85/-15,1,5.9,7.62
SMLG132,"5""/56 (12.7 cm) QF Mark N2 (Twin Mount)",93000.0,326,1951.0,ENG,0,0,0,0,0,,975.0,40.0,,56.0,2,+90/-0,1,26.3,12.7
SMLG133,"12.8 cm/45 (5"") KM41",40500.0,165,1941.0,GER,0,0,0,0,0,,830.0,15.0,,45.0,2,+60/-10,1,28.0,12.8
SMLG134,"12 cm/45 (4.7"") Wilton-Fijenoord Mark 9 (1938 Gunboats Twin Mount)",21805.0,106,1937.0,NLD,1,0,0,0,0,,800.0,10.0,,45.0,2,+80/-10,1,20.5,12.0
SMLG135,"4.7""/40 (12 cm) QF Mark X (CPXV Submarine Mount)",0.0,52,1930.0,ENG,0,0,0,0,0,,749.0,8.0,,40.0,1,+50/-5,1,22.68,12.0
SMLG136,"75 mm/50 (2.9"") Pattern 1892 (OSZ mod 1911 Single Mount)",2555.0,53,1891.0,RUS,0,0,0,0,0,,823.0,15.0,,50.0,1,+20/-10,1,4.9,7.5
SMLG137,"10.5 cm/45 (4.1"") SK L/45 (MPLC/30)",1450.0,64,1906.0,GER,1,0,0,0,0,,710.0,15.0,,45.0,1,+80/-9,1,17.5,10.5
SMLG138,"5""/38 (12.7 cm) Mark 12 (Single Open Mark 30)",18552.0,118,1932.0,USA,1,0,0,0,0,,792.0,20.0,,38.0,1,+85/-15,1,25.0,12.7
SMLG139,"10.5 cm/45 (4.1"") SK C/32 (Ubts LC/36)",4600.0,60,1932.0,GER,1,0,0,0,0,,785.0,15.0,,45.0,1,+30/-10,1,15.1,10.5
SMLG140,"4.7""/45 (12 cm) QF Mark V (Single Pedestal Mount)",2693.0,71,1895.0,ENG,0,0,0,0,0,,710.0,8.0,,45.0,1,+20/-10,1,20.4,12.0
